"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDR103W"	0	0	0	0	1	0	0	0	1	0	0	0
"YDR104C"	2	4	2	1	1	1	3	3	6	4	2	2
"YDR105C"	7	12	7	5	12	7	24	19	13	21	19	12
"YDR106W"	2	0	0	2	0	0	1	2	1	0	0	0
"YDR107C"	2	2	1	10	1	4	15	26	8	13	16	19
"YDR108W"	5	4	3	7	7	1	8	13	4	12	8	7
"YDR109C"	1	4	0	2	8	4	4	4	2	2	4	2
"YDR110W"	3	4	3	4	6	5	2	5	0	0	2	2
"YDR111C"	10	14	3	14	9	5	4	7	0	6	2	3
"YDR112W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR113C"	5	8	1	6	4	4	5	3	4	6	6	5
"YDR114C"	0	0	0	0	0	0	0	0	0	0	0	1
"YDR115W"	47	42	12	54	48	28	63	100	34	80	91	77
"YDR116C"	15	18	3	10	13	12	20	22	14	17	15	19
"YDR117C"	22	19	5	19	15	19	10	18	12	12	23	9
"YDR118W"	1	2	1	2	4	1	7	10	4	10	7	4
"YDR118W.A"	1	0	0	0	0	1	0	0	1	0	0	1
"YDR119W"	31	44	12	28	24	20	30	30	19	47	33	41
"YDR119W.A"	1	1	0	2	1	0	79	58	20	46	61	43
"YDR120C"	16	16	7	21	19	8	2	2	0	2	1	1
"YDR121W"	50	27	13	40	44	15	4	10	7	10	8	2
"YDR122W"	2	5	3	5	2	3	23	11	9	18	13	12
"YDR123C"	4	7	2	3	6	4	2	6	0	1	9	2
"YDR124W"	0	0	0	1	0	0	2	2	0	1	2	0
"YDR125C"	0	1	1	1	0	0	6	4	4	3	8	4
"YDR126W"	0	0	0	0	0	1	5	6	1	3	4	4
"YDR127W"	22	22	13	20	21	11	72	93	36	67	61	56
"YDR128W"	3	6	5	6	3	2	14	13	3	7	16	10
"YDR129C"	50	55	12	47	46	26	98	121	60	90	112	81
"YDR130C"	3	1	0	1	1	1	2	2	3	4	6	5
"YDR131C"	3	0	0	2	1	3	3	1	6	4	11	8
"YDR132C"	5	5	3	4	3	3	5	10	3	14	6	6
"YDR133C"	188	205	87	181	166	114	504	627	313	488	527	439
"YDR134C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR135C"	16	14	2	24	19	12	25	26	19	20	25	26
"YDR136C"	0	0	0	0	1	0	0	0	0	0	0	0
"YDR137W"	10	12	2	10	6	6	8	13	6	9	6	7
"YDR138W"	2	0	1	0	0	4	5	9	1	4	4	6
"YDR139C"	11	22	6	19	23	14	22	20	9	24	16	20
